"","time","M","W","I_M","I_W"
"1",2012,19078308,18257974,6691,552
"2",2013,19088520.0923838,18275508.9734311,7901.32629122513,546.25856901106
"3",2014,19098731.9681701,18292992.2809836,8900.5654726023,556.102516638008
"4",2015,19108878.459644,18310426.3684175,9785.54179830299,576.578836994446
"5",2016,19118914.2123699,18327812.1602237,10617.7257402268,604.672692677655
"6",2017,19128805.798536,18345149.5894198,11436.7764483129,638.575379123472
"7",2018,19138526.945692,18362437.9136036,12268.6971983028,677.244047454676
